latitude,longitude,rwi,error
29.1809408,76.8933105,0.412,0.514
29.9073289,74.7619629,0.561,0.463
29.200123,75.7507324,-0.028,0.476
29.3342978,75.0256348,-0.01,0.49
28.4880048,77.0251465,1.374,0.489
28.0622856,77.3986816,0.476,0.535
29.430029,75.135498,0.016,0.484
28.603814,76.2121582,0.589,0.544
30.0786009,77.3547363,0.363,0.486
29.3726011,76.9152832,1.011,0.532
29.3342978,75.3112793,0.262,0.492
28.4300525,76.4099121,-0.526,0.513
29.3342978,74.630127,-0.129,0.5
28.3720684,76.1901855,0.506,0.534
29.7929837,76.2121582,0.669,0.519
29.5830112,75.7946777,0.649,0.523
28.8927784,77.1789551,0.476,0.54
29.2959801,76.4758301,0.024,0.495
28.873539,76.2121582,-0.532,0.495
29.7739134,76.4758301,0.693,0.477
28.873539,76.541748,0.514,0.516
30.3444351,77.4865723,-0.028,0.486
29.4874244,75.838623,0.553,0.529
28.1591892,76.3879395,0.331,0.55
29.430029,76.4538574,0.064,0.496
30.2116078,77.1130371,0.549,0.499
29.3917473,75.7946777,-0.251,0.455
29.430029,76.036377,-0.315,0.468
30.4202557,77.1789551,-0.063,0.507
28.9697004,75.6848145,0.035,0.486
28.1591892,76.673584,0.534,0.483
28.8927784,76.6955566,0.483,0.525
28.0234996,77.2888184,0.539,0.52
28.5459253,75.6848145,-0.21,0.546
30.0025165,76.4538574,0.211,0.521
28.9697004,76.9372559,0.203,0.518
29.7548395,74.9157715,0.093,0.436
29.3342978,76.0583496,0.062,0.462
28.410728,77.4645996,-0.048,0.515
29.4108899,75.1135254,0.471,0.509
29.4491644,76.6296387,0.511,0.491
28.7580278,75.6408691,0.763,0.546
28.526622,76.1022949,-0.25,0.531
29.6785076,75.5310059,0.028,0.496
29.2768159,76.9812012,-0.168,0.535
29.3726011,74.7180176,-0.482,0.436
28.3527333,77.2229004,0.591,0.509
28.3333947,76.3220215,0.33,0.541
29.3151407,77.0251465,0.794,0.567
28.6231031,75.9484863,0.307,0.528
28.8927784,76.673584,0.705,0.518
29.5639011,75.1794434,0.185,0.484
29.1617551,75.5310059,-0.454,0.495
29.5639011,76.3000488,0.655,0.502
29.697596,76.036377,0.31,0.502
29.1809408,76.3659668,0.457,0.493
29.3151407,76.4978027,0.597,0.577
30.2875311,76.6955566,0.419,0.495
29.2959801,76.8493652,0.139,0.531
28.5073151,76.3659668,0.558,0.563
29.0081399,76.9372559,-0.562,0.486
28.4493734,77.3547363,0.2,0.537
29.4108899,76.9372559,0.569,0.513
30.7040578,76.8933105,0.212,0.496
29.735762,74.8937988,-0.531,0.491
28.1979261,76.6516113,1.121,0.529
29.2768159,75.4870605,0.478,0.537
28.3720684,77.0251465,0.893,0.533
28.410728,77.1350098,0.595,0.527
29.3726011,76.5856934,0.332,0.518
29.6021178,75.4211426,0.318,0.471
29.1809408,76.0803223,0.378,0.499
27.8682161,77.244873,0.627,0.554
28.5845213,76.4099121,-0.004,0.52
28.7772886,75.6408691,-0.402,0.518
27.9264736,76.1462402,0.482,0.551
28.9697004,76.9152832,0.314,0.515
29.7739134,75.4650879,0.138,0.463
28.7387635,76.2780762,-0.083,0.469
29.9644524,76.6296387,0.826,0.497
28.8157994,76.7834473,0.563,0.532
29.6403199,76.8273926,0.922,0.496
29.8882805,76.4538574,0.201,0.488
30.7040578,77.1350098,-0.08,0.476
29.8311133,76.4978027,0.496,0.479
28.0622856,76.3000488,0.194,0.517
30.2495768,77.310791,0.327,0.504
28.0816733,77.1569824,0.054,0.511
29.8120503,75.7507324,0.457,0.5
30.6095493,77.0031738,0.401,0.483
28.873539,76.7175293,-0.115,0.513
29.52567,75.267334,0.598,0.501
28.0041014,77.244873,0.122,0.519
28.9889219,76.5197754,0.536,0.485
29.7548395,75.7507324,0.068,0.497
30.1166211,76.7175293,0.477,0.503
29.52567,75.6628418,-0.014,0.49
29.9834863,76.7175293,-0.124,0.498
29.5447873,75.6408691,0.424,0.499
28.0622856,77.1789551,-0.222,0.553
29.6021178,75.4431152,-0.137,0.484
30.040566,76.673584,0.551,0.484
29.200123,76.0803223,0.434,0.501
28.1204382,76.3220215,0.466,0.506
29.6785076,74.7399902,-0.524,0.445
29.3917473,77.0471191,0.175,0.54
29.3342978,76.2780762,0.336,0.542
28.9697004,75.5969238,0.798,0.539
28.4493734,76.0583496,-0.419,0.527
30.3823528,77.0031738,0.741,0.519
29.8882805,76.607666,0.638,0.523
29.5639011,75.6628418,0.747,0.538
28.0428943,76.1022949,0.485,0.547
29.8882805,74.7619629,0.063,0.466
28.3913999,75.970459,0.396,0.546
29.506549,74.7399902,0.634,0.477
28.1398155,76.607666,0.183,0.546
29.4682962,76.3000488,0.029,0.489
30.3444351,77.1130371,0.586,0.503
30.4960174,76.9372559,0.074,0.513
28.603814,75.7287598,-0.11,0.555
28.4300525,76.3439941,-0.217,0.51
28.1204382,76.5856934,0.136,0.495
30.0976128,77.0910645,0.256,0.499
29.52567,76.8713379,-0.142,0.519
30.7418353,76.9372559,0.388,0.513
28.1204382,76.0144043,0.201,0.553
28.5845213,75.8605957,0.02,0.506
29.8501727,77.0251465,0.894,0.491
28.565225,75.904541,-0.184,0.524
30.2305941,76.6955566,-0.652,0.476
29.7166808,76.9592285,0.225,0.523
28.603814,76.0144043,-0.564,0.504
28.1591892,77.0251465,-0.703,0.534
29.5447873,75.5749512,0.101,0.51
29.8311133,77.1350098,1.0,0.515
28.2753578,77.376709,0.476,0.535
29.7548395,75.7946777,0.302,0.48
29.1617551,76.1462402,-0.013,0.507
30.5906366,76.9372559,0.102,0.506
29.4682962,75.8166504,0.727,0.546
29.3726011,76.9372559,1.058,0.558
30.3633958,77.3547363,-0.092,0.483
29.7166808,76.5197754,0.728,0.553
30.2875311,77.442627,0.127,0.504
29.6594156,75.4870605,0.086,0.486
28.7194957,76.739502,-0.519,0.533
28.9889219,76.739502,0.367,0.521
28.7772886,76.1462402,1.494,0.567
28.4686909,76.036377,0.39,0.538
28.9697004,76.2341309,0.465,0.549
27.9070579,76.036377,0.38,0.524
28.6423887,75.7507324,-0.308,0.507
28.4880048,76.7175293,-0.027,0.517
29.9263737,76.739502,0.63,0.49
27.9846997,77.3986816,0.457,0.507
30.7607184,77.0031738,-0.114,0.512
29.2959801,75.0256348,-0.21,0.459
28.4300525,76.7175293,0.275,0.525
30.3444351,76.7834473,0.739,0.54
29.2193016,76.2561035,0.455,0.54
30.4202557,77.1130371,0.693,0.509
28.294707,76.0583496,0.101,0.558
30.1926178,76.7614746,0.213,0.517
29.0273543,76.3439941,-0.156,0.498
28.9697004,76.2780762,0.513,0.488
29.9454149,76.8054199,0.965,0.554
28.6616708,76.8054199,0.286,0.501
27.7516073,77.0031738,-0.36,0.497
29.1809408,75.5969238,0.266,0.534
28.6231031,76.5197754,0.253,0.509
29.1233728,75.6848145,0.396,0.546
29.735762,76.9152832,0.049,0.527
30.0595852,76.739502,0.382,0.492
30.1356258,77.0690918,0.224,0.492
29.6212207,75.1574707,0.366,0.499
28.1204382,76.6516113,0.665,0.479
28.236649,77.0251465,0.683,0.499
29.0273543,76.8493652,-0.12,0.49
29.6594156,75.5529785,0.957,0.494
28.1204382,77.5085449,-0.185,0.507
30.7040578,77.1130371,-0.092,0.49
29.7548395,76.1462402,0.399,0.539
29.5830112,75.6628418,0.185,0.488
28.9889219,76.8054199,0.912,0.545
27.9846997,77.2229004,0.229,0.511
28.4493734,75.838623,-0.208,0.482
28.9312465,75.6848145,-0.205,0.515
29.9454149,76.2561035,0.26,0.453
29.9644524,77.2009277,0.734,0.53
30.1926178,76.8933105,-0.026,0.511
27.7516073,76.9372559,0.404,0.515
28.8542961,75.7946777,-0.154,0.556
29.2193016,75.6848145,0.487,0.452
28.1979261,77.1569824,-0.323,0.522
28.410728,75.8825684,0.284,0.514
29.1617551,76.4318848,0.172,0.549
30.5717201,77.0031738,0.677,0.509
27.8293604,77.1569824,0.49,0.504
29.5447873,77.0031738,1.098,0.551
29.1233728,76.4318848,0.764,0.539
28.6616708,76.8933105,0.839,0.532
29.52567,76.9592285,0.972,0.527
29.3151407,75.5529785,-0.302,0.473
29.6785076,74.7180176,-0.258,0.443
28.7580278,76.2341309,0.157,0.543
29.6594156,76.9592285,0.217,0.513
29.6785076,76.1022949,0.785,0.498
29.1233728,75.5749512,-0.307,0.508
28.7002242,75.6188965,-0.452,0.507
29.2193016,75.8166504,0.11,0.502
29.9454149,74.8937988,0.151,0.476
30.3444351,76.9372559,0.545,0.532
30.2305941,77.1350098,0.624,0.483
28.294707,76.541748,0.605,0.522
29.6785076,76.4978027,-0.2,0.489
30.2305941,77.244873,0.734,0.518
28.3140526,76.5197754,0.219,0.532
29.5447873,76.739502,0.493,0.525
29.4108899,76.3220215,-0.08,0.513
29.4108899,77.0471191,0.126,0.528
29.2959801,75.0915527,0.442,0.534
28.8542961,75.9924316,0.595,0.511
28.8542961,76.6516113,0.638,0.499
28.294707,76.7834473,0.18,0.533
29.8120503,76.7834473,0.228,0.499
29.4491644,75.8605957,0.99,0.511
30.1546268,77.1789551,0.166,0.487
28.9889219,75.838623,0.055,0.488
29.7548395,76.3439941,0.296,0.548
29.5447873,75.6188965,-0.268,0.497
29.1809408,75.8166504,0.006,0.536
28.2172893,76.4978027,0.358,0.562
28.5845213,75.7507324,-0.082,0.466
28.1398155,77.1130371,-0.573,0.51
29.4682962,76.5637207,0.502,0.516
29.6785076,75.9265137,0.875,0.531
29.5830112,75.201416,-0.078,0.468
30.1546268,76.4318848,0.415,0.491
28.294707,76.8713379,0.759,0.513
28.9504752,76.0583496,-0.194,0.537
29.5639011,75.201416,0.339,0.491
30.7040578,76.9812012,0.279,0.505
29.6594156,75.5090332,0.023,0.486
29.9834863,77.0690918,0.804,0.505
29.4874244,74.630127,0.868,0.504
29.2384766,75.9484863,-0.169,0.502
28.6809493,76.3000488,0.53,0.491
29.8882805,76.4978027,0.553,0.454
29.3726011,75.6188965,-0.202,0.521
29.1041762,77.0031738,0.306,0.515
29.735762,76.4978027,0.096,0.512
28.9697004,76.3879395,0.799,0.533
29.7166808,77.0690918,1.098,0.535
30.0595852,76.541748,0.403,0.489
29.7929837,76.2341309,-0.012,0.498
29.7929837,76.4978027,0.476,0.512
28.294707,76.3220215,0.353,0.541
29.7929837,74.630127,0.276,0.484
28.4300525,76.0144043,-0.058,0.524
28.3333947,76.4099121,0.552,0.583
29.430029,76.739502,-0.089,0.519
29.6212207,76.5637207,-0.05,0.518
30.3633958,77.442627,0.282,0.478
29.9454149,76.6296387,0.406,0.506
29.9454149,77.2229004,-0.591,0.508
29.5447873,74.6740723,0.463,0.469
29.5447873,75.7946777,0.24,0.511
28.6616708,76.9152832,1.314,0.497
30.3065028,77.3986816,0.199,0.523
30.0976128,77.1789551,0.785,0.502
28.603814,76.541748,0.794,0.502
29.2193016,76.541748,-0.044,0.497
30.040566,77.1569824,1.022,0.534
29.9073289,76.9152832,0.393,0.486
29.4108899,74.8059082,-0.125,0.494
29.7548395,75.135498,0.065,0.487
28.7772886,76.1682129,0.547,0.559
29.6212207,75.5969238,0.522,0.475
28.1785594,76.6296387,0.943,0.547
28.3527333,76.9592285,1.243,0.552
29.8120503,76.739502,0.599,0.52
29.3917473,76.9592285,1.381,0.483
28.7965458,75.838623,-0.356,0.495
28.6809493,75.5749512,-0.734,0.491
30.6851635,76.8713379,1.23,0.518
29.6403199,74.7399902,-0.5,0.45
28.1398155,76.2121582,-0.322,0.508
28.1785594,77.3986816,0.357,0.538
29.3534512,75.6628418,0.642,0.514
28.526622,76.3220215,-0.267,0.53
28.526622,75.8825684,-0.218,0.519
28.7965458,75.970459,-0.067,0.523
29.0465652,75.7287598,0.474,0.572
29.4682962,76.4978027,0.416,0.531
28.9889219,76.9812012,0.728,0.541
29.1617551,75.8825684,-0.357,0.502
29.7739134,74.498291,0.409,0.445
28.8157994,76.2121582,-0.233,0.499
29.3534512,76.7175293,-0.207,0.498
29.4682962,75.0036621,0.384,0.501
29.4491644,75.9484863,0.14,0.505
29.6403199,74.8937988,0.302,0.476
29.200123,75.9924316,-0.603,0.496
30.6662655,76.9592285,0.209,0.503
28.3913999,76.3879395,0.008,0.503
28.0428943,77.2009277,0.073,0.522
29.9834863,76.2341309,0.591,0.486
28.7387635,76.4758301,-0.068,0.502
28.3913999,77.1569824,-0.043,0.54
29.0465652,75.904541,0.008,0.48
29.2384766,77.0031738,1.152,0.537
30.0976128,77.2009277,0.602,0.526
29.697596,76.541748,0.194,0.515
30.0025165,76.9372559,0.559,0.499
29.5830112,75.5090332,0.343,0.455
28.2172893,76.3879395,-0.145,0.511
29.8692284,76.8054199,0.313,0.494
28.8157994,75.9265137,0.12,0.512
29.2384766,75.7287598,-0.745,0.499
30.0786009,77.1350098,0.445,0.522
28.2560052,76.0583496,-0.075,0.513
29.0465652,75.9924316,0.409,0.523
29.8882805,76.9372559,0.601,0.503
30.2116078,76.8054199,0.332,0.507
29.9644524,77.0910645,0.539,0.501
29.4874244,75.8605957,0.37,0.519
28.4300525,77.3327637,1.174,0.503
28.3527333,76.5637207,0.557,0.506
29.5830112,75.4211426,0.996,0.492
28.9120143,76.2341309,0.096,0.51
28.1785594,76.9372559,0.119,0.563
28.6809493,76.4318848,-0.01,0.506
29.3726011,76.7614746,0.098,0.5
28.7194957,75.8825684,-0.25,0.523
28.2172893,76.9812012,0.174,0.526
29.1617551,76.1682129,0.027,0.56
30.2875311,76.8713379,0.594,0.517
29.3726011,76.1242676,-0.478,0.57
28.0428943,77.310791,0.448,0.526
29.0849761,75.970459,1.169,0.565
27.6737985,76.9372559,0.072,0.561
29.52567,76.3659668,-0.004,0.484
29.3917473,76.9812012,1.389,0.49
29.3342978,76.4099121,0.429,0.508
28.7387635,75.6188965,0.324,0.505
30.4202557,77.0471191,0.148,0.511
28.4880048,76.9152832,0.73,0.511
28.9504752,76.2121582,-0.221,0.485
28.4300525,77.2668457,0.987,0.486
29.430029,75.904541,-0.068,0.475
29.0273543,75.4650879,-0.571,0.468
28.5073151,76.541748,-0.024,0.532
28.5845213,76.6516113,0.634,0.517
29.9073289,77.1130371,1.069,0.5
28.8927784,75.5310059,-0.35,0.441
29.7929837,75.7727051,0.375,0.502
29.430029,75.0476074,0.408,0.502
28.0816733,76.3000488,-0.295,0.509
29.8501727,75.0695801,-0.2,0.464
29.8882805,74.6740723,0.035,0.455
29.9644524,76.673584,0.095,0.486
29.0657724,75.5969238,-0.382,0.489
29.0849761,77.0471191,0.42,0.473
29.0081399,77.0471191,1.172,0.544
29.6785076,76.541748,-0.159,0.496
29.4874244,76.3000488,-0.021,0.559
30.0595852,77.0690918,0.438,0.495
29.200123,76.2341309,0.141,0.524
29.5447873,75.201416,0.291,0.486
28.603814,76.4538574,0.677,0.513
29.7166808,76.7834473,0.178,0.472
29.8120503,76.4978027,0.331,0.527
30.2495768,77.1130371,0.716,0.501
29.7548395,76.8273926,0.245,0.486
28.2753578,77.2888184,0.659,0.528
29.4682962,77.1130371,0.316,0.528
28.7772886,75.8605957,-0.011,0.514
30.4202557,77.1569824,0.466,0.511
29.4874244,76.5197754,0.124,0.48
29.3342978,75.6408691,0.954,0.491
28.8542961,76.2780762,-0.507,0.498
28.8157994,76.1022949,0.12,0.508
28.6809493,76.1242676,0.298,0.512
29.7929837,76.1682129,0.489,0.5
29.506549,74.9377441,-0.112,0.458
29.1617551,76.3879395,0.188,0.472
29.7166808,76.8933105,0.503,0.522
27.9652945,77.376709,-0.486,0.531
27.9264736,77.4206543,0.124,0.524
28.2560052,76.7834473,0.481,0.543
30.4960174,77.1130371,0.204,0.498
29.8882805,74.6081543,-0.359,0.462
30.6662655,77.1130371,-0.027,0.478
28.294707,76.3000488,0.208,0.53
28.1010575,76.2780762,0.07,0.537
28.4686909,77.0471191,1.365,0.474
28.2753578,77.4645996,0.251,0.521
30.2875311,77.2229004,0.443,0.489
28.410728,76.9372559,0.7,0.537
28.5073151,75.9265137,0.454,0.525
29.8120503,75.0036621,0.069,0.487
28.5845213,76.4318848,-0.076,0.54
30.3823528,77.1350098,0.619,0.578
29.8120503,76.3879395,0.862,0.506
28.9889219,76.5637207,0.036,0.584
29.0657724,75.6628418,0.597,0.505
29.1041762,76.0803223,0.224,0.53
28.2753578,76.3879395,0.178,0.518
30.5149486,77.0690918,-0.325,0.496
30.3254708,77.5305176,-0.3,0.464
28.3333947,76.2780762,0.68,0.519
29.0465652,75.5969238,0.844,0.515
29.3726011,76.7834473,-0.084,0.489
28.3913999,76.8713379,0.822,0.52
28.9312465,77.1789551,0.625,0.54
28.410728,77.2229004,0.676,0.466
29.735762,76.1682129,0.02,0.46
29.8882805,74.630127,0.718,0.483
29.4682962,75.2893066,0.29,0.484
29.9454149,74.7180176,0.219,0.493
29.4108899,75.5310059,0.05,0.502
29.0849761,76.1682129,-0.446,0.495
29.5447873,75.7507324,0.328,0.521
30.3254708,77.3327637,0.406,0.508
29.9263737,76.9592285,0.741,0.508
28.2560052,77.1350098,0.845,0.501
29.4491644,76.0144043,0.826,0.526
28.1785594,76.3000488,0.375,0.558
29.5639011,76.4978027,0.522,0.518
29.3534512,74.9816895,-0.595,0.473
28.603814,75.970459,0.295,0.508
27.8293604,77.2009277,-0.129,0.517
28.4686909,76.607666,0.726,0.556
28.9312465,76.4758301,-0.196,0.475
29.5447873,75.333252,-0.094,0.457
29.3917473,74.9816895,0.456,0.485
29.3534512,74.6520996,-0.136,0.465
28.7002242,75.6848145,0.1,0.556
29.6594156,76.5637207,-0.052,0.518
29.7166808,77.0910645,0.997,0.523
29.6021178,76.3439941,0.286,0.496
30.0025165,76.7834473,0.049,0.485
28.7002242,76.1682129,-0.195,0.489
28.4686909,76.4758301,0.338,0.562
27.7904908,77.0031738,-0.078,0.56
29.6785076,76.0144043,0.359,0.459
28.4493734,76.3439941,0.192,0.555
29.9644524,77.0251465,1.009,0.507
27.8099273,76.9152832,-0.625,0.498
30.3823528,77.4206543,0.106,0.498
28.7965458,75.9484863,-0.087,0.545
28.236649,76.3439941,-0.366,0.505
28.0816733,76.1022949,0.448,0.568
29.6403199,75.3771973,0.625,0.482
27.9264736,77.2668457,-0.332,0.54
30.0786009,76.3659668,0.459,0.49
29.0273543,75.904541,0.054,0.505
28.236649,76.607666,1.035,0.531
29.430029,75.4650879,0.107,0.491
30.0025165,77.2229004,0.69,0.509
29.3342978,76.1242676,0.488,0.497
28.565225,76.3659668,-0.184,0.529
28.565225,75.6408691,-0.449,0.491
29.3917473,76.5197754,-0.039,0.525
29.697596,74.9597168,-0.041,0.461
30.1356258,77.2009277,0.814,0.526
28.8542961,76.4758301,0.638,0.476
29.2768159,75.6408691,0.081,0.45
29.3917473,76.4318848,-0.416,0.512
28.3140526,76.3439941,0.216,0.5
28.2560052,77.2229004,0.846,0.557
28.0622856,77.0910645,-0.551,0.505
30.4392016,77.2668457,0.302,0.519
29.6785076,77.0031738,0.851,0.475
27.84879,77.2009277,0.622,0.536
28.6616708,75.838623,-0.203,0.527
29.1617551,75.970459,-0.189,0.532
30.2305941,76.9592285,-0.261,0.493
28.7580278,76.3439941,-0.357,0.519
29.5447873,76.7175293,-0.255,0.492
28.4686909,76.9592285,0.834,0.528
28.236649,77.2229004,0.177,0.528
28.1204382,77.4206543,0.801,0.54
30.2685558,77.0251465,0.422,0.509
29.6212207,75.3991699,-0.088,0.465
29.1809408,76.1022949,-0.223,0.51
27.9070579,75.9924316,-0.346,0.496
28.5073151,76.7614746,0.148,0.529
29.0465652,75.5310059,0.288,0.552
30.4392016,77.376709,0.2,0.48
28.8927784,76.3879395,-0.073,0.487
29.8311133,76.8933105,0.613,0.514
29.2959801,76.0803223,0.508,0.53
28.1398155,77.2229004,0.085,0.507
28.7772886,75.8825684,0.056,0.494
29.3534512,76.3659668,0.332,0.521
29.52567,74.9377441,-0.08,0.487
29.7929837,74.5422363,0.358,0.479
29.2768159,75.0695801,-0.325,0.441
29.52567,75.4431152,1.052,0.488
29.0273543,75.5310059,0.672,0.503
28.3140526,76.4538574,-0.356,0.531
28.1010575,77.1350098,0.249,0.513
29.8692284,75.0695801,0.522,0.459
29.3534512,76.3879395,0.371,0.527
28.4493734,76.4978027,0.395,0.528
27.8099273,77.0031738,0.444,0.589
29.2576481,76.3659668,0.035,0.52
30.1166211,76.8933105,0.185,0.541
30.3823528,77.2888184,-0.056,0.524
29.5830112,77.0251465,0.73,0.531
28.2753578,76.2341309,0.331,0.554
28.1010575,77.2229004,-0.256,0.531
29.9834863,76.3879395,-0.046,0.471
29.6212207,74.8498535,0.643,0.506
28.7580278,75.7727051,0.295,0.531
29.6403199,75.1574707,0.686,0.465
30.4581439,77.0251465,0.345,0.53
29.430029,75.2233887,0.045,0.472
28.8542961,75.7507324,-0.136,0.523
29.7548395,75.4650879,0.169,0.452
28.6231031,76.8273926,0.427,0.526
29.9263737,74.5202637,0.379,0.495
28.2560052,76.4758301,0.029,0.506
28.8157994,76.1901855,0.512,0.542
28.4880048,76.6296387,-0.135,0.493
28.4493734,77.0031738,1.086,0.491
29.7739134,76.2561035,0.365,0.541
28.4300525,76.2341309,1.143,0.579
29.6403199,76.1901855,-0.065,0.48
30.3254708,77.0910645,0.345,0.513
28.1398155,76.4758301,-0.011,0.494
29.0273543,76.4758301,0.846,0.508
30.0025165,76.3659668,0.08,0.521
28.3527333,76.541748,0.71,0.567
28.410728,76.8273926,0.786,0.519
28.7002242,76.9152832,1.251,0.499
29.5830112,75.7507324,-0.053,0.479
27.84879,76.1682129,0.367,0.56
28.1785594,76.4978027,0.506,0.518
29.6594156,75.5749512,0.934,0.511
28.8350495,76.5856934,0.367,0.479
28.8350495,76.7175293,0.547,0.544
29.5447873,75.7287598,0.485,0.493
29.3726011,76.4978027,0.381,0.524
30.0595852,77.0471191,0.736,0.503
29.200123,75.970459,-0.023,0.523
28.5459253,76.607666,0.516,0.524
29.0081399,75.6628418,0.097,0.505
28.9504752,76.036377,0.989,0.57
30.3823528,77.1130371,0.66,0.507
28.2172893,76.1462402,0.203,0.527
29.735762,75.201416,0.7,0.528
28.236649,76.036377,-0.516,0.478
28.565225,76.6516113,0.29,0.536
30.4392016,77.0251465,0.482,0.543
29.9454149,77.0471191,0.796,0.487
29.1233728,77.0690918,0.621,0.542
30.6095493,77.0471191,-0.363,0.486
29.3726011,75.267334,-0.204,0.467
29.3726011,74.6520996,-0.185,0.453
29.1041762,75.4870605,-0.493,0.476
30.0976128,76.739502,0.454,0.495
29.430029,75.5090332,-0.155,0.492
29.7739134,76.673584,-0.454,0.491
28.8350495,75.9265137,-0.523,0.543
29.200123,76.4318848,0.025,0.486
28.4880048,75.7727051,0.109,0.505
29.2384766,76.8493652,0.047,0.504
28.236649,76.4318848,-0.391,0.525
28.9697004,76.6955566,0.257,0.526
29.200123,75.4870605,0.043,0.503
29.3534512,75.1135254,0.107,0.489
30.4960174,77.0471191,-0.638,0.491
28.3333947,77.0251465,0.351,0.518
29.735762,76.6516113,0.253,0.488
29.1233728,76.0144043,0.306,0.482
28.3913999,76.5856934,0.274,0.531
28.2753578,76.7834473,0.754,0.541
29.2384766,76.9592285,0.184,0.516
29.4682962,75.904541,0.269,0.473
29.4108899,76.6296387,0.209,0.528
29.2959801,75.0036621,-0.338,0.456
29.8692284,76.739502,0.268,0.505
29.6785076,76.1682129,0.346,0.509
28.2172893,77.0690918,0.792,0.535
29.0465652,77.1569824,-0.577,0.495
29.3917473,76.607666,0.242,0.523
28.8350495,76.3879395,0.772,0.557
29.7166808,76.6955566,0.173,0.47
29.8692284,76.9812012,0.305,0.503
29.0273543,76.1242676,-0.223,0.493
29.8692284,77.0690918,1.065,0.544
29.0273543,76.6516113,0.233,0.492
28.7772886,75.9924316,0.399,0.523
28.3333947,76.1682129,0.027,0.55
